ts,bx,by,bz
1717632004660,-67.0,-47.8,51.2
1717632004680,-65.5,-44.7,50.3
1717632004700,-62.6,-42.2,47.5
1717632004720,-59.5,-39.8,44.6
1717632004740,-56.1,-38.5,43.8
1717632004760,-53.6,-36.3,40.9
1717632004780,-50.2,-34.3,36.6
1717632004800,-47.1,-32.6,34.1
1717632004820,-45.7,-29.0,30.5
1717632004840,-40.3,-28.0,27.3
1717632004860,-37.4,-26.4,26.9
1717632004880,-35.0,-23.0,25.3
1717632004900,-30.4,-19.8,22.8
1717632004920,-27.6,-16.8,20.7
1717632004940,-23.6,-15.0,16.2
1717632004960,-20.9,-13.4,13.0
1717632004980,-16.1,-10.8,12.3
1717632005000,-10.5,-9.0,8.8
1717632005020,-8.1,-7.4,10.4
1717632005040,-5.7,-4.0,7.3
1717632005060,-2.3,-1.3,4.1
1717632005080,1.5,1.1,0.9
1717632005100,4.1,3.2,-2.2
1717632005120,6.2,6.1,-4.4
1717632005140,9.3,7.9,-6.9
1717632005160,14.1,10.8,-8.9
1717632005180,17.0,12.9,-11.9
1717632005200,20.9,15.1,-14.5
1717632005220,24.7,15.5,-15.8
1717632005240,28.5,17.6,-17.7
1717632005260,32.3,21.1,-21.8
1717632005280,36.1,22.3,-23.0
1717632005300,39.9,24.6,-26.7
1717632005320,44.0,27.1,-32.6
1717632005340,45.9,31.5,-33.3
1717632005360,47.1,34.1,-36.7
1717632005380,50.7,34.0,-38.5
1717632005400,53.0,35.9,-41.1
1717632005420,56.4,36.4,-43.8
1717632005440,60.9,39.4,-44.4
1717632005460,63.9,41.5,-48.0
1717632005480,66.2,44.6,-50.1
1717632005500,69.6,48.0,-52.3
1717632005520,72.1,47.8,-54.8
1717632005540,73.1,49.8,-57.9
1717632005560,76.2,52.1,-59.7
1717632005580,79.3,56.4,-59.0
1717632005600,80.7,57.9,-62.4
1717632005620,82.2,61.3,-64.4
1717632005640,85.0,63.9,-68.4
1717632005660,87.5,65.3,-68.8
1717632005680,90.6,66.3,-71.6
1717632005700,90.7,65.9,-71.5
1717632005720,94.7,66.2,-74.9
1717632005740,96.4,66.4,-77.0
1717632005760,99.1,68.0,-82.0
1717632005780,101.9,68.9,-85.4
1717632005800,105.7,70.9,-89.4
1717632005820,107.9,72.8,-91.3
1717632005840,110.3,76.1,-94.3
1717632005860,112.7,78.0,-98.3
1717632005880,115.0,81.4,-98.7
1717632005900,118.2,84.2,-99.6
1717632005920,119.2,84.0,-100.7
1717632005940,121.3,84.7,-101.1
1717632005960,121.2,87.0,-104.6
1717632005980,121.8,89.0,-106.7
1717632006000,122.2,90.6,-107.5
1717632006020,122.9,91.1,-109.5
1717632006040,121.8,92.6,-112.1
1717632006060,123.1,96.1,-115.8
1717632006080,123.6,97.6,-118.3
1717632006100,124.4,98.8,-120.8
1717632006120,125.4,100.7,-122.2
1717632006140,127.1,101.6,-125.8
1717632006160,128.3,102.5,-125.8
1717632006180,128.3,104.2,-129.3
1717632006200,130.2,104.7,-130.4
1717632006220,131.1,105.7,-130.8
1717632006240,132.1,106.3,-132.9
1717632006260,133.8,108.0,-135.4
1717632006280,132.5,107.4,-136.8
1717632006300,133.0,108.8,-140.1
1717632006320,131.5,109.2,-140.2
1717632006340,131.5,110.1,-142.7
1717632006360,130.5,110.6,-145.9
1717632006380,129.5,112.4,-145.9
1717632006400,129.0,112.3,-149.3
1717632006420,129.0,112.9,-149.2
1717632006440,128.2,114.1,-147.8
1717632006460,127.3,113.6,-149.7
1717632006480,126.1,115.4,-150.9
1717632006500,125.9,117.5,-153.3
1717632006520,124.1,116.9,-154.9
1717632006540,123.1,118.4,-158.6
1717632006560,121.3,116.4,-161.2
1717632006580,119.4,115.7,-164.0
1717632006600,118.9,116.1,-165.2
1717632006620,119.1,115.7,-164.6
1717632006640,117.5,115.8,-166.4
1717632006660,115.7,117.5,-168.0
1717632006680,112.8,117.6,-168.2
1717632006700,109.7,118.9,-170.1
1717632006720,107.2,118.9,-171.8
1717632006740,103.7,118.3,-173.7
1717632006760,103.1,118.3,-174.1
1717632006780,102.2,118.1,-176.4
1717632006800,96.7,119.1,-178.8
1717632006820,95.9,117.3,-181.5
1717632006840,92.5,118.8,-182.6
1717632006860,89.1,119.0,-181.8
1717632006880,85.5,117.9,-181.7
1717632006900,82.5,116.9,-181.9
1717632006920,80.0,117.8,-183.8
1717632006940,79.3,116.8,-185.1
1717632006960,77.3,117.4,-183.3
1717632006980,76.8,115.2,-186.5
1717632007000,70.8,114.0,-188.3
1717632007020,67.2,113.2,-190.0
1717632007040,63.2,113.1,-189.4
1717632007060,60.1,112.8,-190.6
1717632007080,55.8,113.3,-190.7
1717632007100,52.7,112.7,-192.2
1717632007120,49.6,114.4,-194.7
1717632007140,45.6,112.1,-194.6
1717632007160,41.5,110.3,-196.3
1717632007180,40.5,110.1,-195.3
1717632007200,37.4,110.0,-193.8
1717632007220,32.7,109.3,-194.8
1717632007240,30.1,109.7,-193.6
1717632007260,25.7,109.2,-193.4
1717632007280,23.8,107.6,-194.6
1717632007300,18.9,107.0,-195.5
1717632007320,16.3,106.0,-196.3
1717632007340,12.3,103.6,-195.8
1717632007360,9.0,104.0,-195.7
1717632007380,4.3,102.3,-198.3
1717632007400,1.0,100.4,-199.5
1717632007420,-2.7,98.2,-198.3
1717632007440,-8.1,96.1,-198.3
1717632007460,-12.7,92.9,-199.7
1717632007480,-16.9,91.2,-200.7
1717632007500,-21.3,89.4,-200.9
1717632007520,-26.7,89.8,-201.6
1717632007540,-29.5,87.2,-202.4
1717632007560,-33.1,86.5,-201.2
1717632007580,-35.9,82.5,-200.3
1717632007600,-39.6,80.9,-199.5
1717632007620,-40.9,79.4,-198.8
1717632007640,-43.9,79.4,-200.2
1717632007660,-49.7,78.2,-199.3
1717632007680,-53.9,75.1,-198.9
1717632007700,-59.3,74.0,-198.4
1717632007720,-62.7,72.4,-196.2
1717632007740,-66.9,68.9,-194.3
1717632007760,-71.4,64.7,-193.7
1717632007780,-75.0,65.5,-194.0
1717632007800,-79.5,64.2,-194.1
1717632007820,-82.9,63.5,-194.4
1717632007840,-86.3,61.8,-194.8
1717632007860,-90.8,59.5,-194.2
1717632007880,-93.9,56.7,-192.1
1717632007900,-98.0,55.2,-193.1
1717632007920,-102.5,52.5,-194.8
1717632007940,-104.9,50.6,-192.7
1717632007960,-109.4,47.1,-194.0
1717632007980,-114.5,43.7,-193.7
1717632008000,-115.0,43.7,-194.1
1717632008020,-118.5,42.8,-193.9
1717632008040,-121.8,38.3,-192.6
1717632008060,-124.6,35.4,-190.8
1717632008080,-126.7,34.8,-190.5
1717632008100,-129.8,32.7,-191.9
1717632008120,-130.9,30.8,-189.8
1717632008140,-134.8,28.1,-190.1
1717632008160,-139.7,25.7,-188.6
1717632008180,-143.7,22.8,-188.1
1717632008200,-147.3,20.3,-187.2
1717632008220,-150.5,18.8,-186.0
1717632008240,-152.9,16.2,-184.5
1717632008260,-155.2,14.8,-184.7
1717632008280,-158.3,14.0,-182.2
1717632008300,-161.7,13.7,-178.5
1717632008320,-164.0,10.3,-178.3
1717632008340,-165.3,8.1,-176.6
1717632008360,-166.2,5.4,-174.4
1717632008380,-168.9,3.1,-173.6
1717632008400,-171.5,2.0,-172.7
1717632008420,-172.3,-0.2,-172.1
1717632008440,-173.2,-3.3,-172.6
1717632008460,-175.1,-6.2,-170.5
1717632008480,-177.1,-10.3,-168.8
1717632008500,-177.8,-12.8,-166.9
1717632008520,-180.5,-14.0,-164.9
1717632008540,-182.4,-15.6,-164.0
1717632008560,-185.6,-17.4,-161.6
1717632008580,-186.6,-20.0,-160.7
1717632008600,-187.7,-22.9,-158.3
1717632008620,-190.3,-25.9,-158.9
1717632008640,-189.0,-29.5,-156.1
1717632008660,-190.4,-30.5,-155.0
1717632008680,-190.6,-31.4,-153.2
1717632008700,-190.8,-34.9,-153.1
1717632008720,-191.8,-35.4,-151.7
1717632008740,-192.7,-36.8,-149.3
1717632008760,-192.7,-38.4,-146.5
1717632008780,-194.0,-40.8,-144.0
1717632008800,-193.9,-42.7,-142.1
1717632008820,-194.0,-43.6,-140.1
1717632008840,-194.2,-46.2,-139.3
1717632008860,-193.5,-48.5,-136.1
1717632008880,-194.4,-50.5,-133.0
1717632008900,-194.1,-52.0,-130.9
1717632008920,-193.3,-54.6,-128.5
1717632008940,-192.2,-57.2,-127.7
1717632008960,-193.6,-57.4,-126.8
1717632008980,-192.8,-60.3,-124.5
1717632009000,-192.0,-62.4,-124.7
1717632009020,-190.7,-63.7,-124.4
1717632009040,-191.7,-67.2,-123.6
1717632009060,-190.3,-68.3,-120.2
1717632009080,-189.6,-69.4,-116.3
1717632009100,-187.6,-70.4,-116.8
1717632009120,-186.6,-71.8,-115.7
1717632009140,-185.1,-73.3,-116.3
1717632009160,-183.6,-77.8,-113.9
1717632009180,-182.2,-78.2,-111.5
1717632009200,-181.9,-80.5,-108.7
1717632009220,-180.5,-83.0,-104.0
1717632009240,-177.5,-84.2,-101.8
1717632009260,-176.7,-85.7,-98.3
1717632009280,-174.8,-86.3,-95.8
1717632009300,-173.9,-87.0,-94.3
1717632009320,-170.1,-89.2,-92.2
1717632009340,-167.9,-91.7,-90.0
1717632009360,-167.0,-94.5,-86.7
1717632009380,-167.1,-96.6,-85.0
1717632009400,-163.4,-98.0,-84.7
1717632009420,-160.4,-98.7,-85.1
1717632009440,-155.7,-99.1,-81.2
1717632009460,-153.6,-100.2,-79.8
1717632009480,-151.7,-100.5,-74.1
1717632009500,-149.6,-102.6,-73.5
1717632009520,-145.5,-104.1,-70.5
1717632009540,-141.7,-104.2,-69.2
1717632009560,-139.1,-105.4,-67.9
1717632009580,-136.4,-104.5,-64.1
1717632009600,-132.8,-105.3,-61.3
1717632009620,-130.6,-105.8,-60.4
1717632009640,-128.9,-108.0,-56.8
1717632009660,-125.4,-109.8,-54.0
1717632009680,-121.8,-109.6,-50.1
1717632009700,-118.6,-110.5,-47.4
1717632009720,-116.2,-112.4,-47.4
1717632009740,-113.7,-112.6,-43.0
1717632009760,-110.4,-114.0,-40.4
1717632009780,-107.6,-115.2,-34.5
1717632009800,-104.0,-117.1,-31.6
1717632009820,-100.0,-118.4,-30.6
1717632009840,-94.9,-118.5,-27.8
1717632009860,-90.3,-118.6,-26.2
1717632009880,-86.5,-120.5,-23.4
1717632009900,-83.7,-120.1,-20.8
1717632009920,-80.2,-121.5,-19.3
1717632009940,-76.6,-120.6,-16.5
1717632009960,-74.7,-121.9,-13.0
1717632009980,-66.5,-120.8,-10.9
1717632010000,-62.9,-120.3,-7.0
1717632010020,-60.0,-119.8,-5.6
1717632010040,-57.5,-119.4,-3.0
1717632010060,-53.0,-119.9,0.0
1717632010080,-49.3,-120.9,2.2
1717632010100,-45.1,-120.1,5.4
1717632010120,-40.5,-119.9,8.8
1717632010140,-36.1,-119.8,9.8
1717632010160,-31.3,-118.8,9.9
1717632010180,-28.7,-117.6,11.2
1717632010200,-26.4,-117.1,14.7
1717632010220,-23.1,-115.9,16.0
1717632010240,-20.7,-116.3,19.5
1717632010260,-16.6,-116.1,22.4
1717632010280,-12.8,-115.5,26.9
1717632010300,-9.4,-115.5,29.2
1717632010320,-5.8,-113.8,30.0
1717632010340,-3.2,-114.1,33.9
1717632010360,1.8,-114.3,35.5
1717632010380,4.5,-113.0,40.2
1717632010400,9.4,-112.7,43.8
1717632010420,12.1,-111.8,46.8
1717632010440,14.9,-112.2,48.7
1717632010460,17.8,-113.0,51.2
1717632010480,21.9,-111.8,51.9
1717632010500,25.8,-111.0,52.8
1717632010520,29.0,-112.1,56.4
1717632010540,30.9,-112.9,57.7
1717632010560,33.9,-111.1,60.7
1717632010580,37.0,-109.7,61.1
1717632010600,41.3,-107.2,63.1
1717632010620,45.0,-105.2,65.0
1717632010640,49.0,-105.9,69.2
1717632010660,50.0,-103.6,72.6
1717632010680,53.7,-102.6,74.0
1717632010700,57.2,-101.4,77.2
1717632010720,57.9,-100.4,75.9
1717632010740,60.6,-98.5,77.8
1717632010760,64.8,-96.3,80.9
1717632010780,66.2,-93.3,84.8
1717632010800,66.8,-92.1,88.5
1717632010820,67.8,-90.1,91.7
1717632010840,71.1,-91.0,95.1
1717632010860,72.6,-88.2,97.4
1717632010880,75.7,-85.3,101.9
1717632010900,77.2,-85.7,104.6
1717632010920,80.3,-83.6,107.7
1717632010940,83.2,-82.9,106.5
1717632010960,85.3,-79.3,107.3
1717632010980,85.4,-79.1,109.2
1717632011000,88.8,-77.7,109.3
1717632011020,90.8,-76.6,111.2
1717632011040,93.3,-74.5,114.7
1717632011060,93.6,-74.0,116.0
1717632011080,95.6,-72.4,119.0
1717632011100,97.1,-71.0,122.1
1717632011120,98.9,-68.4,124.9
1717632011140,99.5,-66.0,127.8
1717632011160,101.7,-63.5,128.9
1717632011180,101.1,-60.6,130.0
1717632011200,103.0,-59.8,132.6
1717632011220,103.0,-56.8,133.1
1717632011240,102.2,-54.9,133.7
1717632011260,104.2,-54.7,133.9
1717632011280,103.8,-51.7,135.3
1717632011300,102.9,-48.3,136.3
1717632011320,102.4,-45.7,137.5
1717632011340,103.0,-45.4,139.8
1717632011360,102.7,-40.8,141.5
1717632011380,103.9,-38.8,144.9
1717632011400,104.5,-36.3,146.4
1717632011420,105.0,-34.3,147.5
1717632011440,103.9,-31.9,149.5
1717632011460,102.8,-28.3,151.7
1717632011480,101.8,-26.2,152.3
1717632011500,101.9,-24.0,155.6
1717632011520,103.1,-23.8,155.5
1717632011540,101.8,-18.8,156.5
1717632011560,99.4,-19.1,158.3
1717632011580,98.4,-16.2,160.0
1717632011600,96.7,-15.0,161.5
1717632011620,95.7,-13.1,161.2
1717632011640,94.0,-11.5,162.7
1717632011660,92.6,-10.7,165.3
1717632011680,92.0,-9.0,167.1
1717632011700,90.2,-7.2,165.9
1717632011720,89.0,-3.9,170.0
1717632011740,85.2,-1.3,171.1
1717632011760,83.5,0.7,172.9
1717632011780,82.2,3.0,172.3
1717632011800,81.4,4.0,173.9
1717632011820,79.4,6.4,176.4
1717632011840,76.4,8.0,178.9
1717632011860,75.0,10.1,177.3
1717632011880,71.7,13.0,178.6
1717632011900,69.2,14.6,179.6
1717632011920,67.8,18.4,181.0
1717632011940,63.5,21.0,182.3
1717632011960,61.1,24.6,182.7
1717632011980,57.7,26.7,183.5
1717632012000,56.0,28.4,184.7
1717632012020,53.7,30.6,185.3
1717632012040,50.4,31.4,186.4
1717632012060,49.2,34.9,187.2
1717632012080,46.3,36.8,187.7
1717632012100,45.7,40.9,189.3
1717632012120,42.3,42.2,188.1
1717632012140,40.3,42.1,189.6
1717632012160,38.4,44.0,188.5
1717632012180,35.2,45.7,187.8
1717632012200,30.8,48.9,191.5
1717632012220,27.9,52.3,191.5
1717632012240,24.4,55.4,193.0
1717632012260,21.6,58.2,193.5
1717632012280,18.0,60.0,194.3
1717632012300,15.5,62.1,196.4
1717632012320,10.7,64.0,199.7
1717632012340,4.4,66.5,198.9
1717632012360,0.3,67.5,197.6
1717632012380,-2.2,67.8,199.7
1717632012400,-5.1,68.8,199.8
1717632012420,-8.8,70.8,201.6
1717632012440,-10.8,71.7,199.9
1717632012460,-16.0,74.5,200.7
1717632012480,-19.5,77.0,199.6
1717632012500,-23.4,78.4,198.1
1717632012520,-27.1,81.4,198.4
1717632012540,-29.4,82.3,198.5
1717632012560,-33.1,82.4,199.2
1717632012580,-37.5,82.1,199.3
1717632012600,-41.3,84.4,198.9
1717632012620,-45.1,87.2,198.0
1717632012640,-46.7,89.0,197.4
1717632012660,-52.1,89.9,196.4
1717632012680,-54.9,92.5,193.7
1717632012700,-57.9,94.7,195.0
1717632012720,-61.6,96.3,193.7
1717632012740,-66.4,96.6,193.7
1717632012760,-69.9,98.6,193.5
1717632012780,-73.4,100.2,194.3
1717632012800,-75.7,101.5,193.2
1717632012820,-80.3,102.3,195.0
1717632012840,-81.7,103.9,197.1
1717632012860,-83.8,105.7,196.3
1717632012880,-86.7,107.2,195.3
1717632012900,-91.1,108.5,194.0
1717632012920,-95.6,109.3,192.4
1717632012940,-96.0,111.3,192.7
1717632012960,-99.6,111.9,191.4
1717632012980,-101.0,112.6,191.0
1717632013000,-104.2,114.3,189.8
1717632013020,-107.3,115.4,190.3
1717632013040,-109.0,115.3,187.8
1717632013060,-112.0,115.3,186.7
1717632013080,-117.7,114.7,186.0
1717632013100,-121.7,114.1,185.2
1717632013120,-124.1,114.4,186.3
1717632013140,-126.6,114.4,186.5
1717632013160,-129.9,116.5,186.8
1717632013180,-132.3,117.5,185.9
1717632013200,-134.7,117.3,183.4
1717632013220,-136.3,118.1,181.1
1717632013240,-137.7,119.1,180.0
1717632013260,-140.6,119.4,177.3
1717632013280,-145.0,119.0,177.1
1717632013300,-146.0,119.9,177.6
1717632013320,-146.9,120.0,177.1
1717632013340,-148.3,120.2,177.9
1717632013360,-149.6,121.2,177.6
1717632013380,-151.5,119.5,176.6
1717632013400,-153.6,121.2,176.4
1717632013420,-155.0,121.3,174.6
1717632013440,-157.9,119.9,172.0
1717632013460,-159.9,121.1,171.5
1717632013480,-160.7,120.1,169.8
1717632013500,-162.8,118.8,167.4
1717632013520,-163.1,118.4,167.3
1717632013540,-161.5,117.4,165.8
1717632013560,-162.0,118.3,165.8
1717632013580,-162.9,117.3,163.7
1717632013600,-166.4,117.4,159.6
1717632013620,-165.7,118.7,160.4
1717632013640,-164.1,117.0,156.7
1717632013660,-166.4,117.7,155.3
1717632013680,-165.9,117.0,155.4
1717632013700,-166.1,116.7,153.4
1717632013720,-165.9,114.3,153.0
1717632013740,-168.1,113.6,149.8
1717632013760,-166.6,112.3,148.0
1717632013780,-166.3,112.6,146.5
1717632013800,-167.2,111.7,142.8
1717632013820,-167.8,110.2,141.6
1717632013840,-166.8,108.4,140.4
1717632013860,-166.7,106.2,140.4
1717632013880,-166.6,106.6,135.9
1717632013900,-165.2,105.6,134.9
1717632013920,-166.0,104.1,133.9
1717632013940,-164.0,103.6,131.3
1717632013960,-162.8,104.3,129.5
1717632013980,-162.9,102.5,125.6
1717632014000,-162.5,102.1,124.4
1717632014020,-161.1,100.5,123.3
1717632014040,-160.2,98.4,121.0
1717632014060,-160.3,97.7,121.5
1717632014080,-156.8,97.6,120.1
1717632014100,-155.4,96.6,119.0
1717632014120,-153.7,94.4,116.6
1717632014140,-152.1,93.7,113.2
1717632014160,-150.3,90.5,109.9
1717632014180,-150.3,87.8,107.2
1717632014200,-149.0,87.7,103.9
1717632014220,-147.6,84.9,100.5
1717632014240,-145.7,84.6,97.0
1717632014260,-141.8,85.5,96.5
1717632014280,-138.8,85.2,94.2
1717632014300,-137.4,84.4,91.6
1717632014320,-135.4,81.3,88.8
1717632014340,-132.7,77.3,85.4
1717632014360,-128.6,76.1,84.1
1717632014380,-125.3,73.5,84.7
1717632014400,-123.5,70.7,82.2
1717632014420,-121.7,68.6,81.8
1717632014440,-118.5,67.9,79.3
